Unnamed: 0,position,name,matches,Age,goals,assists,weekly_wages,annual_wages
2,Left-Back,P. Estupiñán,6,27,0,1,90000,4680000
3,Centre-Back,K. De Winter,6,23,0,0,60000,3120000
4,Centre-Back,F. Tomori,10,27,0,1,86000,4472000
5,Centre-Back,S. Pavlović,11,24,1,1,60000,3120000
6,Centre-Back,M. Gabbia,10,26,0,0,64000,3328000
7,Right-Back,Z. Athekame,6,20,1,0,35000,1820000
8,Centre-Back,D. Odogu,1,19,0,0,18000,936000
9,Left-Back,D. Bartesaghi,6,19,0,1,22000,1144000
10,Defensive Midfield,A. Jashari,2,23,0,0,90000,4680000
11,Defensive Midfield,Y. Fofana,11,26,1,2,106000,5512000
12,Defensive Midfield,S. Ricci,8,24,1,1,90000,4680000
13,Central Midfield,A. Rabiot,5,30,0,1,180000,9360000
14,Right Midfield,A. Saelemaekers,11,26,1,2,25000,1300000
15,Central Midfield,R. Loftus-Cheek,9,29,1,0,100000,5200000
16,Central Midfield,L. Modrić,10,40,1,2,125000,6500000
17,Left Winger,R. Leão,6,26,4,0,125000,6500000
18,Right Winger,C. Pulisic,8,27,6,2,100000,5200000
19,Centre-Forward,C. Nkunku,6,27,1,0,180000,9360000
20,Centre-Forward,S. Gimenez,11,24,1,2,90000,4680000
23,Centre-Back,W. Saliba,11,24,0,1,250000,13000000
24,Centre-Back,G. Magalhães,13,27,2,2,150000,7800000
25,Right-Back,J. Timber,12,24,2,2,90000,4680000
26,Centre-Back,P. Hincapié,2,23,0,0,65000,3380000
27,Left-Back,M. Lewis-Skelly,9,19,0,2,45000,2340000
28,Left-Back,R. Calafiori,10,23,1,2,120000,6240000
29,Right-Back,Ben White,4,28,0,0,150000,7800000
30,Centre-Back,C. Mosquera,10,21,0,0,55000,2860000
31,Central Midfield,D. Rice,13,26,1,4,240000,12480000
32,Attacking Midfield,M. Ødegaard,7,26,0,2,240000,12480000
33,Defensive Midfield,M. Zubimendi,12,26,2,0,75000,3900000
34,Attacking Midfield,E. Eze,11,27,2,3,180000,9360000
35,Attacking Midfield,E. Nwaneri,6,18,0,0,80000,4160000
36,Central Midfield,M. Merino,12,29,1,0,130000,6760000
37,Defensive Midfield,C. Nørgaard,4,31,0,0,65000,3380000
38,Right Winger,B. Saka,10,24,3,0,195000,10140000
39,Centre-Forward,V. Gyökeres,13,27,5,0,200000,10400000
40,Centre-Forward,K. Havertz,1,26,0,0,280000,14560000
41,Right Winger,N. Madueke,6,23,0,0,150000,7800000
42,Left Winger,G. Martinelli,12,24,4,1,180000,9360000
44,Left Winger,L. Trossard,10,30,3,2,90000,4680000
45,Right Winger,M. Dowman,3,15,0,1,35000,1820000
48,Centre-Back,E. Konsa,11,28,0,0,75000,3900000
49,Centre-Back,P. Torres,10,28,0,0,100000,5200000
50,Right-Back,M. Cash,13,28,2,0,100000,5200000
51,Left-Back,I. Maatsen,10,23,0,0,100000,5200000
52,Left-Back,L. Digne,11,32,0,2,135000,7020000
53,Centre-Back,V. Lindelöf,5,31,0,0,120000,6240000
54,Centre-Back,T. Mings,7,32,0,0,110000,5720000
55,Attacking Midfield,M. Rogers,13,23,1,2,75000,3900000
56,Defensive Midfield,A. Onana,6,24,0,0,140000,7280000
57,Defensive Midfield,B. Kamara,11,25,0,3,150000,7800000
58,Central Midfield,Y. Tielemans,4,28,0,0,150000,7800000
59,Attacking Midfield,H. Elliott,5,22,1,0,65000,3380000
60,Central Midfield,J. McGinn,13,31,3,1,120000,6240000
61,Attacking Midfield,E. Buendía,12,28,3,2,75000,3900000
62,Defensive Midfield,L. Bogarde,9,21,0,0,35000,1820000
63,Central Midfield,R. Barkley,3,31,0,0,60000,3120000
64,Centre-Forward,O. Watkins,13,29,1,0,130000,6760000
65,Right Winger,E. Guessand,12,24,1,0,75000,3900000
66,Right Winger,D. Malen,13,26,2,0,140000,7280000
67,Left Winger,J. Sancho,5,25,0,0,200000,10400000
69,Centre-Back,G. Scalvini,5,21,1,0,54000,2808000
70,Centre-Back,Isak Hien,10,26,0,0,33000,1716000
71,Centre-Back,O. Kossounou,8,24,0,0,35000,1820000
72,Left-Back,H. Ahanor,7,17,0,0,18000,936000
73,Centre-Back,B. Djimsiti,11,32,0,0,28000,1456000
74,Central Midfield,Éderson,7,26,0,0,50000,2600000
75,Attacking Midfield,C. De Ketelaere,9,24,2,0,61000,3172000
76,Right Midfield,R. Bellanova,10,25,0,0,65000,3380000
77,Central Midfield,Y. Musah,7,22,0,1,50000,2600000
78,Attacking Midfield,L. Samardžić,10,23,2,1,37000,1924000
79,Left Midfield,N. Zalewski,6,23,1,1,57000,2964000
80,Central Midfield,M. Pasalić,11,30,2,3,71000,3692000
81,Attacking Midfield,D. Maldini,7,24,0,0,40000,2080000
82,Central Midfield,M. Brescianini,8,25,1,0,35000,1820000
83,Defensive Midfield,M. de Roon,11,34,0,0,35000,1820000
84,Right Midfield,D. Zappacosta,8,33,0,1,35000,1820000
85,Second Striker,A. Lookman,7,28,1,0,45000,2340000
86,Centre-Forward,G. Scamacca,4,26,1,0,115000,5980000
87,Centre-Forward,N. Krstović,11,25,2,3,42000,2184000
88,Left Winger,K. Sulemana,10,23,2,1,57000,2964000
90,Centre-Back,R. Le Normand,13,28,2,0,120000,6240000
91,Centre-Back,D. Hancko,11,27,0,1,130000,6760000
92,Right-Back,M. Llorente,13,30,2,2,160000,8320000
93,Right-Back,N. Molina,8,27,0,0,72000,3744000
94,Left-Back,M. Ruggeri,8,23,0,0,40000,2080000
95,Right-Back,M. Pubill,3,22,0,0,23000,1196000
96,Centre-Back,J. Giménez,3,30,0,0,120000,6240000
97,Centre-Back,C. Lenglet,7,30,0,0,140000,7280000
98,Left-Back,J. Galán,6,30,0,0,60000,3120000
99,Central Midfield,P. Barrios,13,22,1,0,120000,6240000
100,Central Midfield,C. Gallagher,13,25,1,0,175000,9100000
101,Central Midfield,Johnny Cardoso,3,24,0,0,80000,4160000
102,Central Midfield,Koke,12,33,0,2,130000,6760000
103,Centre-Forward,J. Alvarez,12,25,7,4,240000,12480000
104,Left Winger,Á. Baena,7,24,1,1,160000,8320000
105,Right Winger,G. Simeone,13,22,3,3,60000,3120000
106,Centre-Forward,A. Sørloth,11,29,2,0,140000,7280000
107,Left Winger,T. Almada,6,24,1,0,100000,5200000
108,Second Striker,G. Raspadori,8,25,1,1,120000,6240000
109,Left Winger,N. González,10,27,1,0,145000,7540000
110,Second Striker,A. Griezmann,13,34,2,0,180000,9360000
111,Left Winger,C. Martín,1,23,0,0,16000,832000
114,Centre-Back,P. Cubarsí,10,18,0,0,75000,3900000
115,Right-Back,J. Koundé,13,26,1,1,300000,15600000
116,Left-Back,A. Balde,8,22,0,1,32000,1664000
117,Centre-Back,R. Araujo,10,26,2,0,240000,12480000
118,Centre-Back,E. García,13,24,1,0,115000,5980000
119,Centre-Back,A. Christensen,9,29,0,0,173000,8996000
120,Left-Back,G. Martín,11,23,0,0,30000,1560000
121,Central Midfield,Pedri,13,22,2,2,250000,13000000
122,Attacking Midfield,F. López,8,22,6,0,77000,4004000
123,Attacking Midfield,Dani Olmo,10,27,1,2,250000,13000000
124,Central Midfield,F. de Jong,11,28,0,2,365000,18980000
125,Central Midfield,Gavi,2,21,0,1,180000,9360000
126,Defensive Midfield,M. Casadó,10,22,0,1,25000,1300000
127,Defensive Midfield,M. Bernal,4,18,0,1,25000,1300000
128,Right Winger,Lamine Yamal,8,18,3,5,320000,16640000
129,Left Winger,Raphinha,7,28,3,2,320000,16640000
130,Centre-Forward,F. Torres,11,25,5,1,192000,9984000
131,Left Winger,M. Rashford,13,27,5,7,270000,14040000
132,Centre-Forward,R. Lewandowski,9,37,4,0,400000,20800000
133,Right Winger,R. Bardghji,7,19,0,1,20000,1040000
136,Centre-Back,D. Upamecano,12,27,0,0,192000,9984000
137,Centre-Back,M. Kim,9,28,0,1,230000,11960000
138,Right-Back,J. Stanisic,7,25,0,1,126000,6552000
139,Centre-Back,J. Tah,12,29,1,1,230000,11960000
140,Right-Back,K. Laimer,13,28,1,5,173000,8996000
141,Right-Back,S. Boey,12,25,0,1,90000,4680000
142,Left-Back,R. Guerreiro,9,31,2,2,150000,7800000
143,Defensive Midfield,A. Pavlovic,10,21,1,0,110000,5720000
144,Defensive Midfield,J. Kimmich,13,30,1,2,385000,20020000
145,Central Midfield,T. Bischof,10,20,0,1,55000,2860000
146,Central Midfield,L. Goretzka,11,30,0,0,250000,13000000
147,Attacking Midfield,L. Karl,10,17,2,1,15000,780000
148,Right Winger,M. Olise,13,23,6,7,260000,13520000
149,Centre-Forward,H. Kane,13,32,20,3,480000,24960000
150,Left Winger,Luis Díaz,13,28,7,4,270000,14040000
151,Centre-Forward,N. Jackson,9,24,2,1,145000,7540000
152,Left Winger,S. Gnabry,11,30,3,4,365000,18980000
153,Left Winger,W. Mike,2,17,0,0,5000,260000
156,Centre-Back,Natan,12,24,0,1,60000,3120000
157,Centre-Back,V. Gómez,10,22,0,0,25000,1300000
158,Left-Back,J. Firpo,8,29,0,1,72000,3744000
159,Centre-Back,D. Llorente,1,32,0,0,60000,3120000
160,Right-Back,Á. Ortiz,4,21,0,0,12000,624000
161,Right-Back,H. Bellerín,10,30,0,1,60000,3120000
162,Left-Back,R. Rodríguez,9,33,0,1,48000,2496000
163,Centre-Back,M. Bartra,7,34,1,0,48000,2496000
164,Central Midfield,S. Altimira,10,24,0,1,40000,2080000
165,Attacking Midfield,G. Lo Celso,12,29,2,2,100000,5200000
166,Defensive Midfield,S. Amrabat,7,29,0,0,120000,6240000
167,Central Midfield,N. Deossa,4,25,0,0,45000,2340000
168,Central Midfield,P. Fornals,13,29,2,4,60000,3120000
169,Defensive Midfield,Marc Roca,7,28,0,1,48000,2496000
170,Right Winger,Antony,8,25,3,1,120000,6240000
171,Centre-Forward,C. Hernández,12,26,4,1,80000,4160000
172,Left Winger,A. Ezzalzouli,9,23,2,1,28000,1456000
173,Left Winger,R. Riquelme,11,25,0,1,60000,3120000
174,Right Winger,P. García,7,19,0,0,16000,832000
175,Right Winger,A. Ruibal,9,29,1,0,32000,1664000
176,Centre-Forward,C. Ávila,5,31,0,0,40000,2080000
177,Centre-Forward,C. Bakambu,10,34,2,0,52000,2704000
179,Centre-Back,D. Vivian,11,26,0,0,70000,3640000
180,Centre-Back,A. Paredes,10,25,1,0,40000,2080000
181,Right-Back,J. Areso,11,26,0,1,40000,2080000
182,Centre-Back,A. Laporte,8,31,0,0,200000,10400000
183,Right-Back,A. Gorosabel,6,29,0,0,30000,1560000
184,Left-Back,A. Boiro,2,23,0,0,8000,416000
185,Right-Back,I. Lekue,4,32,0,0,20000,1040000
186,Left-Back,Y. Berchiche,12,35,0,1,83000,4316000
187,Attacking Midfield,O. Sancet,10,25,1,0,80000,4160000
188,Central Midfield,M. Jauregizar,13,21,1,2,40000,2080000
189,Central Midfield,B. Prados,2,24,0,0,28000,1456000
190,Attacking Midfield,U. Gómez,7,22,0,0,7000,364000
191,Central Midfield,I. Ruiz de Galarreta,11,32,0,0,30000,1560000
192,Defensive Midfield,M. Vesga,10,32,0,0,40000,2080000
193,Left Winger,N. Williams,7,23,1,2,320000,16640000
194,Right Winger,I. Williams,12,31,1,0,220000,11440000
195,Centre-Forward,M. Sannadi,9,24,1,0,16000,832000
196,Left Winger,Á. Berenguer,10,30,0,1,60000,3120000
197,Centre-Forward,G. Guruzeta,11,29,3,0,40000,2080000
198,Right Winger,R. Navarro,12,23,2,0,20000,1040000
199,Centre-Forward,Urko Izeta,3,26,0,0,8000,416000
200,Left Winger,N. Serrano,5,22,0,0,6000,312000
202,Centre-Back,B. Diakité,8,24,0,0,70000,3640000
203,Centre-Back,M. Senesi,10,28,0,2,50000,2600000
204,Left-Back,A. Truffert,9,23,0,1,35000,1820000
205,Right-Back,Á. Jiménez,6,20,0,0,18000,936000
206,Centre-Back,V. Milosavljevic,3,18,0,0,25000,1300000
207,Right-Back,J. Araujo,1,24,0,0,25000,1300000
208,Left-Back,J. Soler,2,20,0,0,20000,1040000
209,Centre-Back,J. Hill,8,23,0,0,25000,1300000
210,Right-Back,A. Smith,3,34,0,0,40000,2080000
211,Attacking Midfield,J. Kluivert,9,26,1,0,80000,4160000
212,Central Midfield,A. Scott,10,22,1,0,40000,2080000
213,Defensive Midfield,T. Adams,10,26,0,1,60000,3120000
214,Left Midfield,M. Tavernier,9,26,2,1,65000,3380000
215,Central Midfield,L. Cook,3,28,0,0,60000,3120000
216,Central Midfield,R. Christie,8,30,1,0,70000,3640000
217,Defensive Midfield,B. Winterburn,1,21,0,0,2000,104000
218,Right Winger,A. Semenyo,10,25,6,3,75000,3900000
219,Centre-Forward,Evanilson,8,26,1,1,85000,4420000
220,Left Winger,A. Adli,8,25,0,0,60000,3120000
221,Right Winger,B. Gannon-Doak,4,19,0,1,30000,1560000
222,Centre-Forward,E. Kroupi,7,19,4,0,20000,1040000
223,Right Winger,D. Brooks,9,28,0,1,50000,2600000
224,Centre-Forward,Enes Ünal,1,28,0,0,15000,780000
227,Centre-Back,N. Collins,12,24,1,0,30000,1560000
228,Centre-Back,S. van den Berg,12,23,0,0,20000,1040000
229,Right-Back,M. Kayode,12,21,0,0,40000,2080000
230,Centre-Back,K. Ajer,8,27,0,2,40000,2080000
231,Right-Back,A. Hickey,7,23,1,0,70000,3640000
232,Left-Back,R. Henry,10,28,0,0,35000,1820000
233,Centre-Back,E. Pinnock,4,32,0,0,30000,1560000
234,Centre-Back,B. Arthur,2,20,0,0,8000,416000
235,Attacking Midfield,M. Damsgaard,8,25,1,1,75000,3900000
236,Left Midfield,K. Lewis-Potter,9,24,1,2,50000,2600000
237,Attacking Midfield,A. Milambo,3,20,0,0,30000,1560000
238,Central Midfield,Y. Yarmolyuk,11,21,0,1,25000,1300000
239,Defensive Midfield,V. Janelt,7,27,0,0,30000,1560000
240,Central Midfield,M. Jensen,9,29,3,1,50000,2600000
241,Attacking Midfield,F. Carvalho,8,23,3,1,40000,2080000
242,Central Midfield,F. Onyeka,9,27,0,2,40000,2080000
243,Defensive Midfield,J. Henderson,9,35,0,2,75000,3900000
244,Left Winger,D. Ouattara,11,23,2,1,65000,3380000
245,Left Winger,K. Schade,11,23,2,1,10000,520000
246,Centre-Forward,I. Thiago,10,24,7,0,50000,2600000
247,Left Winger,R. Nelson,2,25,1,1,70000,3640000
248,Right Winger,R. Donovan,1,18,0,0,15000,780000
251,Centre-Back,J. van Hecke,10,25,1,0,50000,2600000
252,Left-Back,F. Kadıoğlu,10,26,0,0,87500,4550000
253,Centre-Back,O. Boscagli,2,27,1,0,60000,3120000
254,Left-Back,M. De Cuyper,8,24,1,0,55000,2860000
255,Centre-Back,D. Coppola,5,21,0,2,25000,1300000
256,Centre-Back,L. Dunk,9,33,0,0,80000,4160000
257,Right-Back,J. Veltman,6,33,0,1,50000,2600000
258,Defensive Midfield,C. Baleba,11,21,0,0,12500,650000
259,Central Midfield,Y. Ayari,10,22,2,0,8000,416000
260,Defensive Midfield,M. Wieffer,7,25,0,1,60000,3120000
261,Defensive Midfield,J. Hinshelwood,4,20,0,0,25000,1300000
262,Central Midfield,D. Gómez,10,22,5,0,25000,1300000
263,Central Midfield,J. Milner,9,39,1,1,60000,3120000
264,Right Winger,Y. Minteh,9,21,1,2,40000,2080000
265,Left Winger,K. Mitoma,6,28,1,1,80000,4160000
266,Centre-Forward,G. Rutter,8,23,0,3,75000,3900000
267,Right Winger,B. Gruda,8,21,2,2,50000,2600000
268,Centre-Forward,C. Kostoulas,4,18,1,0,40000,2080000
269,Centre-Forward,S. Tzimas,7,19,2,2,20000,1040000
270,Left Winger,T. Watson,3,19,1,3,20000,1040000
271,Centre-Forward,D. Welbeck,10,34,5,1,60000,3120000
274,Centre-Back,M. Estève,9,23,0,0,50000,2600000
275,Left-Back,Q. Hartman,9,23,4,0,45000,2340000
276,Centre-Back,B. Humphreys,3,22,0,0,40000,2080000
277,Centre-Back,J. Worrall,6,28,0,0,40000,2080000
278,Centre-Back,A. Tuanzebe,5,27,0,0,45000,2340000
279,Left-Back,Lucas Pires,2,24,0,0,20000,1040000
280,Centre-Back,H. Ekdal,7,27,0,0,25000,1300000
281,Right-Back,O. Sonne,5,24,0,1,10000,520000
282,Right-Back,K. Walker,9,35,1,0,75000,3900000
283,Defensive Midfield,L. Ugochukwu,9,21,0,2,55000,2860000
284,Defensive Midfield,Florentino,6,26,1,0,40000,2080000
285,Attacking Midfield,Hannibal,9,22,1,0,1000,52000
286,Central Midfield,J. Cullen,9,29,1,1,55000,2860000
287,Attacking Midfield,M. Tresor,2,26,1,0,30000,1560000
288,Central Midfield,J. Laurent,10,30,0,0,20000,1040000
289,Right Winger,L. Tchaouna,9,22,0,1,45000,2340000
290,Left Winger,J. Anthony,9,25,1,4,45000,2340000
291,Centre-Forward,A. Broja,5,24,1,0,45000,2340000
292,Right Winger,M. Edwards,3,26,1,0,50000,2600000
293,Centre-Forward,L. Foster,8,25,1,2,1000,52000
294,Centre-Forward,Z. Flemming,8,27,0,3,20000,1040000
295,Left Winger,J. Bruun Larsen,7,27,1,0,45000,2340000
296,Left Winger,J. Banel,2,21,0,0,10000,520000
297,Centre-Forward,A. Barnes,3,35,0,0,25000,1300000
300,Left-Back,M. Cucurella,12,27,0,2,175000,9100000
301,Left-Back,J. Hato,6,19,0,0,120000,6240000
302,Right-Back,R. James,11,25,1,2,250000,13000000
303,Right-Back,M. Gusto,10,22,0,2,45000,2340000
304,Centre-Back,T. Chalobah,12,26,2,0,50000,2600000
305,Centre-Back,W. Fofana,5,24,0,1,200000,10400000
306,Centre-Back,T. Adarabioyo,8,28,0,0,120000,6240000
307,Centre-Back,B. Badiashile,3,24,0,0,90000,4680000
308,Centre-Back,J. Acheampong,7,19,1,0,5000,260000
309,Attacking Midfield,C. Palmer,4,23,2,0,130000,6760000
310,Defensive Midfield,M. Caicedo,12,23,4,0,150000,7800000
311,Central Midfield,E. Fernández,12,24,4,1,180000,9360000
312,Central Midfield,A. Santos,10,21,0,1,35000,1820000
313,Defensive Midfield,R. Lavia,4,21,0,0,45000,2340000
314,Attacking Midfield,F. Buonanotte,4,20,1,0,25000,1300000
315,Centre-Forward,João Pedro,11,24,2,3,125000,6500000
316,Right Winger,Estêvão,12,18,2,1,60000,3120000
317,Right Winger,P. Neto,12,25,2,2,160000,8320000
318,Left Winger,J. Gittens,10,21,0,1,108000,5616000
319,Left Winger,A. Garnacho,7,21,1,0,110000,5720000
320,Centre-Forward,L. Delap,3,22,0,0,100000,5200000
321,Left Winger,T. George,7,19,2,1,7500,390000
322,Centre-Forward,Marc Guiu,4,19,1,0,50000,2600000
325,Centre-Back,M. Guéhi,15,25,1,2,50000,2600000
326,Centre-Back,M. Lacroix,15,25,0,1,50000,2600000
327,Right-Back,D. Muñoz,15,29,2,2,60000,3120000
328,Left-Back,T. Mitchell,12,26,1,0,40000,2080000
329,Centre-Back,C. Richards,13,25,1,0,55000,2860000
330,Centre-Back,J. Canvot,2,19,0,0,25000,1300000
331,Left-Back,B. Sosa,6,27,0,0,35000,1820000
332,Right-Back,N. Clyne,1,34,0,0,50000,2600000
333,Left-Back,R. Cardines,1,19,0,0,5000,260000
334,Defensive Midfield,A. Wharton,13,21,0,1,35000,1820000
335,Attacking Midfield,D. Kamada,12,29,0,1,105000,5460000
336,Defensive Midfield,J. Lerma,14,31,0,0,70000,3640000
337,Attacking Midfield,J. Devenny,12,22,0,0,20000,1040000
338,Central Midfield,W. Hughes,12,30,0,1,60000,3120000
339,Centre-Forward,J. Mateta,15,28,7,0,50000,2600000
340,Right Winger,I. Sarr,12,27,4,2,70000,3640000
341,Right Winger,Y. Pino,10,23,0,2,60000,3120000
342,Centre-Forward,E. Nketiah,7,26,2,0,90000,4680000
343,Right Winger,R. Esse,3,20,0,0,15000,780000
345,Centre-Back,N. Schlotterbeck,8,25,0,0,90000,4680000
346,Right-Back,J. Ryerson,11,27,0,4,96000,4992000
347,Centre-Back,W. Anton,13,29,1,0,100000,5200000
348,Centre-Back,N. Süle,3,30,0,0,192000,9984000
349,Centre-Back,A. Anselmino,3,20,0,0,40000,2080000
350,Centre-Back,R. Bensebaini,12,30,2,1,87000,4524000
351,Centre-Back,F. Mane,3,20,0,0,7000,364000
352,Central Midfield,F. Nmecha,13,25,4,1,115000,5980000
353,Central Midfield,J. Bellingham,13,20,0,2,135000,7020000
354,Attacking Midfield,J. Brandt,12,29,4,2,90000,4680000
355,Left Midfield,D. Svensson,13,23,2,0,47000,2444000
356,Right Midfield,Yan Couto,8,23,2,1,91000,4732000
357,Central Midfield,C. Chukwuemeka,8,22,1,1,1150000,59800000
358,Central Midfield,M. Sabitzer,12,31,0,3,145000,7540000
